Population,Median Age,Household Income,Per Capita Income,Masters holders,Median gross rent,Poverty Rate,Unemployment rate,pop_arc/eng,house_age,Population Density
4130.0,30.8,51145.0,43720.0,543.0,915.0,17.263922518159806,4.019370460048426,140,79,5484.72775564409
689.0,48.8,45500.0,35031.0,2.0,463.0,9.869375907111756,1.161103047895501,0,67,3.360647741683738
5879.0,60.5,49934.0,39627.0,780.0,935.0,7.518285422690933,1.547882292906957,37,42,488.24848434515405
24000.0,43.0,34038.0,18654.0,562.0,666.0,20.625,3.6375,52,45,210.30862791146006
49645.0,32.6,26892.0,14510.0,904.0,861.0,34.27736932218753,7.2293282304360975,38,79,14168.093607305937
3041.0,43.8,41528.0,24099.0,28.0,592.0,21.24301216705032,1.9401512660309108,6,56,36.546088210551616
23780.0,29.1,32000.0,14300.0,679.0,847.0,39.34819175777965,5.841042893187553,69,42,6723.211761379701
2916.0,38.8,87762.0,37481.0,252.0,1088.0,1.3717421124828533,3.1893004115226335,11,19,159.50114867082377
20662.0,36.5,47705.0,24801.0,794.0,676.0,13.919272093698574,2.899041719097861,206,38,220.90599039911046
20290.0,37.4,64052.0,28334.0,758.0,690.0,7.309019221291276,3.0409068506653525,139,23,683.5792736338522
25105.0,39.2,80000.0,44095.0,3089.0,1123.0,5.5128460466042615,1.6251742680740888,346,21,230.76569537641325
2459.0,34.1,32734.0,14262.0,0.0,743.0,32.28954859699065,7.36071573810492,0,75,732.7175208581644
3217.0,49.5,37315.0,19925.0,125.0,629.0,15.728940006216972,1.8650917003419327,7,52,32.84026990883941
44788.0,36.1,76668.0,39876.0,3209.0,895.0,5.40100026792891,1.3463427703849244,220,25,1073.0748957784274
22280.0,40.0,87543.0,44785.0,1644.0,980.0,8.128366247755835,2.7827648114901256,691,33,1715.693824118281
4287.0,43.0,162206.0,82297.0,828.0,1810.0,3.149055283414976,4.222066713319338,13,62,1629.418472063854
1024.0,45.2,41875.0,22329.0,19.0,683.0,17.1875,3.3203125,9,41,23.341159307971097
6985.0,42.7,37083.0,18795.0,149.0,570.0,21.846814602720126,2.7630637079455966,18,40,37.24022477421281
11151.0,43.1,60174.0,32271.0,930.0,965.0,5.380683346785042,1.5873015873015872,55,53,293.1310953970716
25562.0,43.3,50366.0,29024.0,1266.0,798.0,13.242312808074484,4.3267349972615605,177,60,2496.2890625
2252.0,38.7,46199.0,31540.0,56.0,691.0,13.943161634103019,0.0,0,23,22.493907067801352
2596.0,44.8,69950.0,30006.0,91.0,658.0,8.474576271186441,3.00462249614792,23,45,68.60827739309688
34719.0,44.3,76626.0,37680.0,2528.0,1018.0,5.351536622598577,1.9758633601198192,517,38,503.12287159273694
5919.0,47.1,41913.0,22996.0,197.0,831.0,19.378273356985982,4.3419496536577125,13,34,64.91199210396447
2960.0,46.0,22441.0,17320.0,56.0,379.0,27.80405405405405,5.033783783783784,0,47,25.397697046659687
72211.0,40.0,94921.0,41393.0,4428.0,1842.0,4.761047485840106,3.365138275332013,977,38,2281.980786246998
4754.0,45.7,54267.0,33584.0,95.0,930.0,8.203618005889776,3.933529659234329,8,30,188.40407403004002
914.0,50.4,74375.0,71917.0,69.0,1297.0,3.063457330415755,2.62582056892779,0,37,105.77479458396019
1130.0,30.4,18457.0,8199.0,0.0,980.0,59.11504424778761,9.20353982300885,0,39,194.19144182849286
11870.0,43.1,32418.0,22052.0,210.0,657.0,21.93765796124684,4.38921651221567,17,45,135.01063478883972
1093.0,63.6,107500.0,82370.0,108.0,1795.0,3.6596523330283617,3.7511436413540715,0,46,520.9723546234509
1247.0,48.4,45060.0,23941.0,14.0,673.0,9.30232558139535,2.72654370489174,6,45,4.259796335960265
71611.0,30.1,41995.0,17397.0,1319.0,863.0,21.647512253704036,5.490776556674254,303,55,4783.9535039080765
