Zipcode,Population,Median Age,Household Income,median_home_value,Per Capita Income,Masters holders,Bachelor holders,Median gross rent,Poverty Count,Poverty Rate,Unemployment,Unemployment rate,pop_arc/eng,pop_stem,pop_tech,pop_biz,commute time car,house_age
01364,7832.0,46.5,37911.0,159500.0,22077.0,275.0,504.0,733.0,1049.0,13.393769152196118,409.0,5.222165474974464,20,41,14,106,58760.0,61
01366,1202.0,50.5,65774.0,279900.0,35322.0,87.0,153.0,734.0,55.0,4.575707154742097,38.0,3.1613976705490847,19,42,15,11,,68
01367,686.0,42.2,50357.0,190000.0,25178.0,48.0,73.0,1300.0,151.0,22.011661807580175,7.0,1.0204081632653061,8,13,5,7,,56
01368,1363.0,48.3,67333.0,213000.0,28429.0,56.0,88.0,1164.0,138.0,10.12472487160675,59.0,4.328686720469553,0,8,5,0,,45
01370,3879.0,51.4,54803.0,242000.0,36488.0,410.0,813.0,822.0,378.0,9.74477958236659,140.0,3.609177623098737,19,95,51,45,42765.0,79
01373,4184.0,46.8,71174.0,277500.0,36138.0,504.0,758.0,1027.0,234.0,5.592734225621415,125.0,2.9875717017208414,43,134,71,132,,48
01375,3673.0,27.7,53934.0,278200.0,34286.0,574.0,540.0,1222.0,645.0,17.56057718486251,76.0,2.069153280696978,42,285,136,110,,45
01376,5101.0,43.8,41836.0,184400.0,25130.0,301.0,536.0,787.0,1038.0,20.34895118604195,245.0,4.802979807880807,8,46,30,86,,73
01378,734.0,54.8,56985.0,206800.0,31262.0,61.0,130.0,1088.0,64.0,8.719346049046322,17.0,2.316076294277929,5,21,7,14,,60
01379,775.0,52.0,44750.0,205700.0,29457.0,108.0,151.0,917.0,126.0,16.258064516129032,17.0,2.193548387096774,2,12,3,8,,37
01420,40441.0,34.6,50617.0,180200.0,23622.0,1568.0,3340.0,912.0,7368.0,18.21913404713039,2279.0,5.635370045251107,310,795,389,471,,73
01430,6171.0,42.3,86219.0,239900.0,35860.0,486.0,1103.0,961.0,375.0,6.076810889645114,250.0,4.05120725976341,67,249,93,122,,48
01431,3196.0,45.4,89934.0,247000.0,32514.0,186.0,343.0,1243.0,246.0,7.69712140175219,102.0,3.1914893617021276,30,108,59,23,,54
01432,7594.0,38.8,77462.0,292800.0,42565.0,799.0,1098.0,887.0,899.0,11.838293389518041,258.0,3.3974190150118515,173,561,356,310,,51
01434,1716.0,43.0,54318.0,243300.0,15055.0,75.0,308.0,938.0,150.0,8.741258741258742,36.0,2.097902097902098,4,11,7,23,,74
01436,3823.0,40.8,77083.0,171800.0,28266.0,157.0,256.0,549.0,328.0,8.579649489929375,98.0,2.5634318597959718,40,59,19,99,49225.0,46
01438,635.0,48.4,70028.0,211400.0,27062.0,45.0,1.0,-666666666.0,161.0,25.35433070866142,51.0,8.031496062992126,0,0,0,45,,74
01440,20334.0,39.8,46410.0,173200.0,24680.0,786.0,1569.0,767.0,3637.0,17.886298809875086,751.0,3.693321530441625,114,345,165,227,,71
01450,11182.0,45.1,117500.0,427800.0,50656.0,1486.0,2907.0,1157.0,441.0,3.9438383115721694,315.0,2.8170273654086926,395,1044,514,297,162620.0,39
01451,4629.0,47.6,140192.0,565100.0,64234.0,906.0,1191.0,1375.0,201.0,4.342190537913156,118.0,2.549146683949017,145,367,142,134,,43
01452,4537.0,44.5,84803.0,239300.0,34042.0,257.0,510.0,1263.0,223.0,4.915142164425832,119.0,2.622878554110646,40,177,86,136,,33
01453,41336.0,40.8,56577.0,227000.0,29527.0,2250.0,5416.0,877.0,5604.0,13.557189858718793,1511.0,3.655409328430424,556,1263,461,792,470460.0,52
01460,9538.0,45.2,108704.0,392300.0,49488.0,1298.0,2205.0,1257.0,268.0,2.8098133780666807,302.0,3.1662822394631998,262,682,346,341,119625.0,47
01462,11087.0,45.7,89706.0,273600.0,40771.0,864.0,1826.0,1577.0,809.0,7.296834130062235,266.0,2.3992062776224405,238,501,191,327,145795.0,48
01463,12031.0,43.5,84980.0,315500.0,37824.0,897.0,1918.0,1177.0,589.0,4.89568614412767,383.0,3.183442772836838,249,617,335,514,,40
01464,7433.0,43.0,68864.0,310600.0,29748.0,369.0,1008.0,971.0,622.0,8.368088255078703,227.0,3.0539486075608773,43,163,105,116,,38
01467,560.0,51.0,131667.0,513400.0,47052.0,146.0,137.0,-666666666.0,84.0,15.0,0.0,0.0,11,23,0,22,,79
01468,3704.0,47.7,62589.0,209000.0,37560.0,110.0,464.0,-666666666.0,201.0,5.426565874730022,155.0,4.184665226781857,26,74,48,67,,37
01469,7430.0,39.3,81317.0,258100.0,35376.0,424.0,1060.0,847.0,373.0,5.020188425302826,191.0,2.570659488559892,210,381,110,155,,42
01473,7480.0,44.7,96953.0,270400.0,41812.0,561.0,1477.0,1113.0,210.0,2.807486631016043,204.0,2.727272727272727,237,460,148,212,,47
01474,1939.0,46.2,98221.0,277900.0,50984.0,205.0,357.0,1125.0,52.0,2.6817947395564725,41.0,2.114492006188757,22,74,45,46,,55
01475,10613.0,42.3,61998.0,186400.0,27530.0,382.0,858.0,879.0,1225.0,11.542447941204184,315.0,2.968058042023933,67,209,123,197,,47
01501,16239.0,45.7,71976.0,240700.0,35524.0,1302.0,2878.0,986.0,717.0,4.41529650840569,566.0,3.485436295338383,214,577,320,481,,58
01503,3061.0,47.3,97614.0,376100.0,47905.0,310.0,655.0,1067.0,102.0,3.3322443645867366,49.0,1.6007840574975498,67,208,93,81,,43
01504,9068.0,41.1,75544.0,261400.0,33253.0,477.0,1245.0,853.0,501.0,5.524922805469783,393.0,4.33392148213498,132,399,175,350,,47
01505,4480.0,44.5,93197.0,347900.0,47595.0,444.0,1069.0,1065.0,151.0,3.3705357142857144,74.0,1.6517857142857142,153,316,110,155,,49
01506,3386.0,41.5,63906.0,217200.0,34450.0,159.0,601.0,930.0,363.0,10.720614294152393,125.0,3.691671588895452,40,135,75,93,,42
01507,13292.0,43.7,92227.0,280100.0,37512.0,891.0,1925.0,902.0,605.0,4.551609990972013,656.0,4.935299428227506,211,479,235,434,,35
01510,13759.0,39.3,60755.0,242800.0,30955.0,878.0,2161.0,1045.0,1354.0,9.840831455774403,434.0,3.1542990042881023,246,463,113,224,,67
01515,2259.0,42.2,80714.0,236100.0,34639.0,128.0,340.0,867.0,106.0,4.6923417441345725,87.0,3.851261620185923,13,56,38,72,,63
01516,8689.0,41.5,88958.0,274000.0,35436.0,463.0,1393.0,1068.0,268.0,3.084359535044309,168.0,1.933479111520313,113,304,174,283,,37
01518,3009.0,43.0,53664.0,334700.0,38091.0,381.0,565.0,685.0,179.0,5.948820206048521,69.0,2.293120638085743,16,206,125,104,,28
01519,6548.0,42.3,114615.0,378000.0,47905.0,635.0,1552.0,997.0,273.0,4.1692119731215636,107.0,1.6340867440439828,172,435,156,259,104160.0,35
01520,14880.0,41.5,99575.0,290400.0,41699.0,1908.0,2965.0,1161.0,490.0,3.293010752688172,431.0,2.896505376344086,219,660,256,484,,53
01521,2374.0,45.1,75658.0,203200.0,35363.0,173.0,319.0,1214.0,120.0,5.054759898904802,123.0,5.181128896377422,22,79,43,48,,51
01522,3380.0,41.7,102602.0,283900.0,42394.0,500.0,596.0,1000.0,248.0,7.337278106508876,102.0,3.0177514792899407,61,168,67,99,,38
01523,7811.0,38.2,97958.0,304300.0,33078.0,456.0,1171.0,1123.0,521.0,6.670080655485854,194.0,2.483676865958264,107,221,81,105,,56
01524,6649.0,45.1,60288.0,220800.0,32164.0,428.0,765.0,856.0,530.0,7.9711234772146184,215.0,3.233568957738006,117,171,54,104,,54
